State	p_0_k_original_tweets (EAs)	p_1_k_original_tweets (EAs)	p_2_k_original_tweets (EAs)	p_0_k_retweets (EAs)	p_1_k_retweets (EAs)	p_2_k_retweets (EAs)	p_0_k_quoted_tweets (EAs)	p_1_k_quoted_tweets (EAs)	p_2_k_quoted_tweets (EAs)	p_0_k_replies (EAs)	p_1_k_replies (EAs)	p_2_k_replies (EAs)	p_0_k_total_tweets (EAs)	p_1_k_total_tweets (EAs)	p_2_k_total_tweets (EAs)	p_0_k_users (EAs)	p_1_k_users (EAs)	p_2_k_users (EAs)	#users_1_k (EAs)	#users_2_k (EAs)	#users_all_k (EAs)	p_0_k_virality_original (EAs)	p_1_k_virality_original (EAs)	p_2_k_virality_original (EAs)	p_0_k_virality_retweet (EAs)	p_1_k_virality_retweet (EAs)	p_2_k_virality_retweet (EAs)	p_0_k_virality_quoted (EAs)	p_1_k_virality_quoted (EAs)	p_2_k_virality_quoted (EAs)	p_0_k_virality_reply (EAs)	p_1_k_virality_reply (EAs)	p_2_k_virality_reply (EAs)	p_0_k_virality_total (EAs)	p_1_k_virality_total (EAs)	p_2_k_virality_total (EAs)
MD	0.7017543859649122	0.3508771929824561	0.5	0.5087719298245614	0.31693989071038253	0.6229508196721312	0.5789473684210527	0.3548387096774194	0.6129032258064516	4.0	0.5714285714285714	0.14285714285714285	0.6169354838709677	0.34075723830734966	0.5523385300668151	0.8125	0.39097744360902253	0.48120300751879697	104	128	266	1.405239556768976	0.3756788384967424	0.2673414911266298	3.0560143392384647	0.6001183528284443	0.1963728851409739	0.5903584516444823	0.2811707525886197	0.4762712413202522	166.03306795391126	0.8685612605943555	0.005231254660881515	1.652624905514597	0.42224428093065836	0.2554991634954087
ME	0.39473684210526316	0.23809523809523808	0.6031746031746031	0.2	0.1625	0.8125	0.2857142857142857	0.2222222222222222	0.7777777777777778	1.0	0.4	0.4	0.28571428571428575	0.20382165605095542	0.7133757961783439	0.44615384615384607	0.2815533980582524	0.6310679611650486	29	65	103	0.38303784748429914	0.206648546343483	0.5394990278394189	0.7109073704385018	0.32865737945391355	0.4623068955540454	0.34625523789317736	0.2571988046152746	0.7428011953847254	6.292736925840563	0.688975471727811	0.10948741062074194	0.4680252129091557	0.24420351043542088	0.5217742627955838
MI	0.37788018433179726	0.2411764705882353	0.638235294117647	0.3517786561264822	0.2398921832884097	0.6819407008086253	0.7272727272727272	0.38095238095238093	0.5238095238095238	0.07692307692307691	0.07142857142857142	0.9285714285714286	0.3722772277227723	0.24511082138200782	0.6584093872229465	0.5338078291814947	0.3105590062111801	0.5817805383022774	150	281	483	0.9960783471194463	0.31474603291762554	0.3159852172550863	1.7015761427528195	0.5278458635047881	0.3102099578399331	0.845085458184111	0.38408256125315765	0.4544896111198746	0.0	0.0	1.0	1.1872616141934678	0.3817744721103203	0.32155884393657236
MN	0.5540540540540541	0.30597014925373134	0.5522388059701493	0.6607142857142857	0.37948717948717947	0.5743589743589743	1.4444444444444446	0.52	0.36	0.14285714285714285	0.08333333333333333	0.5833333333333334	0.6386138613861386	0.3524590163934426	0.5519125683060109	0.7380952380952381	0.3875	0.525	93	126	240	0.9142478644502638	0.40158890390841795	0.4392560480848297	2.253157394206981	0.6254902249564684	0.2776060947027694	2.533680553821814	0.5759113836940851	0.22730228671699676	0.21807172061787122	0.05237977040697419	0.2401951534961274	1.1344453501705984	0.4402404669288896	0.38806670313619424
MO	0.5268817204301075	0.3181818181818182	0.6038961038961039	0.4424778761061947	0.2857142857142857	0.6457142857142857	0.2777777777777778	0.2	0.72	0.23809523809523808	0.18518518518518517	0.7777777777777778	0.4448979591836735	0.28608923884514437	0.6430446194225722	0.4129032258064516	0.2644628099173554	0.640495867768595	64	155	242	1.43079088744418	0.48048134865086883	0.3358152144155406	1.8818625422216608	0.4319738849752582	0.2295459287187283	0.4088767780375984	0.23917485037326322	0.5849558185260152	0.8173648489176695	0.34019074540999406	0.4162042762916275	1.539207723231469	0.44994499800255	0.2923224664296246
MS	0.39999999999999997	0.2222222222222222	0.5555555555555556	0.13725490196078433	0.109375	0.796875	0.16666666666666666	0.14285714285714285	0.8571428571428571	1.0	0.25	0.25	0.2289156626506024	0.15833333333333333	0.6916666666666667	0.288135593220339	0.2	0.6941176470588235	17	59	85	0.34236608226288695	0.07242439193289678	0.21154079123201655	0.15177541499542693	0.04801008568235985	0.31632320480761933	0.9858062364152351	0.4964261962409819	0.5035738037590182	25.575052534161745	0.6675228792426507	0.02610054772521036	0.6547160219301444	0.13824392275666125	0.21115096946781506
MT	0.42857142857142855	0.2571428571428571	0.6	0.28	0.21875	0.78125	0.5	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0	0.3269230769230769	0.22972972972972974	0.7027027027027027	0.43750000000000006	0.27450980392156865	0.6274509803921569	14	32	51	1.898440019912438	0.49175562154969665	0.2590314239015979	2.9212239532103474	0.7449775855874567	0.25502241441254314	0.4266910730765331	0.2990774114513884	0.7009225885486117	0.0	0.0	1.0	1.5518118399765517	0.4900561915653563	0.31579614160745234
NC	0.3850267379679144	0.2360655737704918	0.6131147540983607	0.22021660649819494	0.17329545454545456	0.7869318181818182	0.25	0.2	0.8	0.0	0.0	0.8666666666666667	0.2770137524557957	0.19803370786516855	0.7148876404494382	0.3344155844155844	0.22342733188720174	0.6681127982646421	103	308	461	1.1350740651488955	0.3204738069764848	0.282337352967752	0.7715834591683935	0.3757425939568882	0.48697595767781304	0.7781746830003683	0.43762555526171965	0.5623744447382806	0.0	0.0	0.3393396275567334	0.999837447089997	0.32859391350267214	0.32864733608351726
ND	0.39999999999999997	0.14285714285714285	0.35714285714285715	0.058823529411764705	0.05263157894736842	0.8947368421052632	nan	nan	nan	0.0	0.0	1.0	0.13043478260869565	0.08823529411764706	0.6764705882352942	0.21428571428571427	0.15789473684210525	0.7368421052631579	3	14	19	1.6202250358541785	0.04822595416306815	0.029764972825298646	0.0022647763860631914	0.0017236923452519544	0.7610872119027208	nan	nan	nan	0.0	0.0	1.0	0.09455365310755111	0.030184051065689603	0.3192267043490791
NE	0.9130434782608695	0.4375	0.4791666666666667	0.28888888888888886	0.21311475409836064	0.7377049180327869	1.3333333333333333	0.5714285714285714	0.42857142857142855	4.0	0.8	0.2	0.5833333333333334	0.34710743801652894	0.5950413223140496	0.6086956521739131	0.358974358974359	0.5897435897435898	28	46	78	6.427232956940665	0.8119547743141162	0.1263303788354675	1.598676794373279	0.559106060736096	0.34973051632695995	1.5795039067488732	0.6123285576797716	0.3876714423202286	29.369822564325776	0.9670725768027811	0.032927423197218815	4.421403114639229	0.7657362580284525	0.17318851915879507
