category,lexicon
cluster_4,valued
cluster_4,values
cluster_4,valuing
cluster_1,valuabl*
cluster_4,vanity
cluster_1,vicious*
cluster_4,victim*
cluster_4,vigor*
cluster_1,vile
cluster_1,villain*
cluster_4,violat*
cluster_4,violent*
cluster_4,virtue*
cluster_4,vital*
cluster_1,vulture*
cluster_4,warring
cluster_4,wars
cluster_4,war
cluster_4,warred
cluster_1,warfare*
cluster_3,warm*
cluster_2,weak*
cluster_4,wealth*
cluster_4,weapon*
cluster_3,weep*
cluster_2,weird*
cluster_2,well
cluster_1,wept
cluster_3,whine*
cluster_3,whining
cluster_3,whore*
cluster_1,wicked*
cluster_1,wimp*
cluster_4,wins
cluster_4,win
cluster_1,winn*
cluster_1,wisdom
cluster_3,wise*
cluster_4,witch
cluster_4,woe*
cluster_2,worse*
cluster_4,worship*
cluster_3,worst
cluster_1,worthless*
cluster_1,worthwhile
cluster_2,wow*
cluster_2,wrong*
cluster_3,yay
cluster_3,yays
cluster_1,yearn*
